"MessungsID","Datum","SpielerID","Spiele","Siege","Tore","Torschuesse","Vorlagen","Paraden","Hereingaben","Befreiungsschlaege","Retter","Zerstoerungen","3v3","2v2","1v1"
"1","2020-11-25","1","4158","2282","8918","14061","886","5797","16785","11818","901","3362","622","610","653"
"2","2020-11-15","1","4071","2234","8736","13730","863","5659","16382","11523","880","3284","649","637","625"
"3","2020-11-05","1","4049","2218","8678","13621","854","5619","16270","11457","873","3263","649","626","591"
"4","2020-10-26","1","4032","2212","8637","13552","852","5597","16191","11404","872","3245","649","671","583"
"5","2020-10-16","1","4023","2203","8611","13514","851","5583","16163","11380","870","3239","649","660","583"
"6","2020-10-06","1","3989","2185","8530","13376","837","5547","15987","11268","866","3205","659","635","584"
"7","2020-09-26","1","3885","2128","8324","13018","800","5410","15548","10967","843","3092","592","679","557"
"8","2020-09-16","1","3800","2083","8149","12750","783","5292","15185","10714","826","2971","657","650","394"
"9","2020-09-06","1","3741","2048","8037","12559","763","5215","14942","10498","816","2920","645","633","405"
"10","2020-08-27","1","3704","2027","7954","12436","756","5167","14740","10381","810","2885","0","0","0"
"11","2020-08-17","1","3675","2012","7843","12268","750","5113","14564","10295","799","2860","0","0","0"
"12","2020-08-07","1","3631","1985","7672","12016","746","5043","14295","10151","790","2821","0","0","0"
"13","2020-07-28","1","3596","1968","7591","11871","743","4999","14115","10051","785","2777","0","0","0"
"14","2020-07-18","1","3427","1859","7079","11132","726","4701","13274","9484","734","2643","0","0","0"
"15","2020-07-08","1","3371","1840","6939","10891","724","4600","13002","9314","714","2590","0","0","0"
"16","2020-06-28","1","3281","1792","6804","10627","694","4498","12688","9090","699","2486","0","0","0"
"17","2020-06-18","1","3192","1743","6624","10390","668","4392","12358","8866","690","2387","0","0","0"
"18","2020-06-08","1","3121","1702","6572","10201","636","4311","12116","8674","681","2307","0","0","0"
"19","2020-05-29","1","3121","1702","6572","10201","636","4311","12116","8674","681","2307","0","0","0"
"20","2020-05-19","1","3120","1702","6567","10196","636","4307","12110","8670","680","2306","0","0","0"
"21","2020-05-09","1","3105","1699","6525","10109","634","4277","12029","8608","675","2286","0","0","0"
"22","2020-04-29","1","3066","1676","6388","9909","625","4199","11804","8472","661","2243","0","0","0"
